,phigh_day_touch,plow_day_touch,phigh_night_touch,plow_night_touch,ret_distance_phigh_day_open,ret_distance_plow_day_open,ret_distance_phigh_night_open,ret_distance_plow_night_open
2017-08-17,0,0,0,0,,,,
2017-08-18,0,1,0,1,-0.02731315036078062,0.011807443450439771,-0.027720335260961924,0.027990548080713894
2017-08-19,0,0,0,0,-0.07277063579780117,0.011737166678937845,-0.047719185889516215,0.03506493506493506
2017-08-20,1,0,0,0,-0.004465071000171024,0.0389114647246978,-0.018907263694824105,0.024510119971631383
2017-08-21,0,1,0,1,-0.03964461984643827,-0.010532197165487773,-0.02305546239726258,0.027659971521988607
2017-08-22,1,0,1,0,-0.04044967559188197,0.03057823981846735,-0.021122171764257652,0.14877647058823534
2017-08-23,1,0,0,0,0.02819612065815327,0.08531445513900222,-0.010605279197336908,0.04590466183598828
2017-08-24,1,0,1,0,-0.0012999290947766486,0.03825740822644843,-0.0059845587093677165,0.03439159267663966
2017-08-25,1,0,0,1,0.009682776415474126,0.05643312223865664,-0.008958420803294103,0.035877807060568465
2017-08-26,0,1,1,0,-0.04123440253155439,0.0043531694086848425,-0.01243836377526207,0.012714811711110838
2017-08-27,1,0,0,1,-0.006458037635639402,0.025997513014122706,-0.013638636363636414,0.012705516691012058
2017-08-28,1,0,1,0,-0.014621169465600206,0.009446079118210224,-0.009792917029367298,0.048032022964985106
2017-08-29,0,0,0,0,0.02390552340777584,0.05007249113090819,-0.02612492839153893,0.04438339650635783
2017-08-30,0,0,0,0,-0.016916793333607162,0.011074172494690887,-0.021680426723127054,0.029605911218498097
2017-08-31,0,0,1,0,0.016282278217409303,0.03721825069129722,-0.00012378456363824956,0.02524947478991579
2017-09-01,1,0,1,0,0.006640086651971842,0.029737140492091092,-0.013014677928560757,0.02621979513972437
2017-09-02,0,0,0,1,-0.09058345529162534,-0.06244856444690155,-0.10045979199018455,0.020298028985374198
2017-09-03,0,0,0,0,-0.0344861185090877,0.040178498531562606,-0.05422333268289383,0.037405224819871845
2017-09-04,0,0,0,1,-0.12409464553736603,-0.09274742060712328,-0.10641532109989639,6.227022287758172e-05
2017-09-05,1,0,1,0,-0.028049616945093392,0.07159409590312288,-0.027382503489995255,0.16023036358590076
2017-09-06,0,0,1,0,0.029975540636657052,0.1076016745551065,-8.65900200671584e-06,0.06554854841462797
2017-09-07,1,0,0,0,0.018662325992361024,0.04666931094510918,-0.00808171090028585,0.07023133304342553
