,datetime,open,high,low,close,volume,adj_close
2017-08-17 04:00:00,1502942400000,4261.48,4313.62,4261.32,4308.83,47.181009,4308.83
2017-08-17 05:00:00,1502946000000,4308.83,4328.69,4291.37,4315.32,23.234916,4315.32
2017-08-17 06:00:00,1502949600000,4330.29,4345.45,4309.37,4324.35,7.229691,4324.35
2017-08-17 07:00:00,1502953200000,4316.62,4349.99,4287.41,4349.99,4.443249,4349.99
2017-08-17 08:00:00,1502956800000,4333.32,4377.85,4333.32,4360.69,0.972807,4360.69
2017-08-17 09:00:00,1502960400000,4360.0,4445.78,4360.0,4444.0,10.763623,4444.0
2017-08-17 10:00:00,1502964000000,4441.1,4470.0,4399.81,4460.0,24.865399,4460.0
2017-08-17 11:00:00,1502967600000,4460.0,4485.39,4427.3,4427.3,27.018053,4427.3
2017-08-17 12:00:00,1502971200000,4436.06,4449.56,4411.0,4411.0,23.032398,4411.0
2017-08-17 13:00:00,1502974800000,4411.0,4459.0,4411.0,4459.0,31.312436,4459.0
2017-08-17 14:00:00,1502978400000,4459.0,4485.39,4435.93,4470.82,51.735897,4470.82
2017-08-17 15:00:00,1502982000000,4470.82,4470.82,4333.42,4352.34,68.48127,4352.34
2017-08-17 16:00:00,1502985600000,4352.33,4354.35,4255.3,4354.18,67.458791,4354.18
2017-08-17 17:00:00,1502989200000,4354.18,4354.84,4235.45,4289.24,59.664912,4289.24
2017-08-17 18:00:00,1502992800000,4289.24,4302.45,4218.68,4256.97,51.275163,4256.97
2017-08-17 19:00:00,1502996400000,4241.91,4335.3,4200.74,4325.23,46.71085,4325.23
2017-08-17 20:00:00,1503000000000,4307.56,4354.84,4258.56,4346.74,48.975472,4346.74
2017-08-17 21:00:00,1503003600000,4346.74,4369.69,4309.23,4333.55,61.773036,4333.55
2017-08-17 22:00:00,1503007200000,4333.55,4359.13,4310.0,4336.8,57.376142,4336.8
2017-08-17 23:00:00,1503010800000,4313.39,4337.38,4280.82,4285.08,81.645263,4285.08
2017-08-18 00:00:00,1503014400000,4285.08,4340.62,4228.76,4286.53,82.435474,4286.53
2017-08-18 01:00:00,1503018000000,4269.36,4269.36,4134.61,4243.59,75.684883,4243.59
2017-08-18 02:00:00,1503021600000,4251.95,4298.64,4234.0,4267.59,54.071337,4267.59
2017-08-18 03:00:00,1503025200000,4244.77,4308.7,4234.0,4292.39,64.001349,4292.39
2017-08-18 04:00:00,1503028800000,4292.39,4292.39,4234.43,4287.92,50.797515,4287.92
2017-08-18 05:00:00,1503032400000,4287.92,4340.62,4250.04,4313.56,64.169286,4313.56
2017-08-18 06:00:00,1503036000000,4313.56,4316.98,4247.75,4279.46,64.235424,4279.46
2017-08-18 07:00:00,1503039600000,4279.46,4304.67,4270.48,4300.25,69.186804,4300.25
2017-08-18 08:00:00,1503043200000,4285.0,4320.71,4259.85,4282.73,74.829849,4282.73
2017-08-18 09:00:00,1503046800000,4265.33,4327.25,4265.33,4304.15,45.653156,4304.15
2017-08-18 10:00:00,1503050400000,4304.15,4371.52,4296.04,4356.31,51.563675,4356.31
2017-08-18 11:00:00,1503054000000,4356.31,4357.37,4302.72,4340.31,24.093449,4340.31
2017-08-18 12:00:00,1503057600000,4320.52,4340.31,4287.79,4331.71,15.118957,4331.71
